tab,title,section,type,required,concept,label,option concept,option label,normal,noncritical,absolute,format,caption format,css class,css style,script


form,[1] Admission

,,Telephone [fr:Téléphone]
,,,text,,159635,Telephone number [fr:Numero de téléphone]
,,,text,,900001,Owner of telephone [fr:Propriétaire du téléphone]

,,Home [fr:Domicile]
,,,text,,900002,Name of head of family [fr:Nom du chef de famille]
,,,text,,900003,Health zone [fr:Zone de santé]
,,,text,,900004,Health area [fr:Aire de santé]
,,,text,,1354,Quartier / Village
,,,text,,159942,Other information [fr:Autres informations]

,,Admission
,,,datetime,,1640,Date and time of admission [fr:Date et heure d'admission]
,,,date,,1730,Date of onset of symptoms [fr:Date de début des symptômes]
,,,select_one,,900005,Status [fr:État]
,,,,,,,142177,S. Suspect [fr:S. Suspect]
,,,,,,,159392,C. Confirmed [fr:C. Confirmé]
,,,,,,,119844,Con. Convalescent [fr:Con. Convalescence]

,,Returning patient [fr:Patient revenant]
,,,date,,900006,Date of previous discharge [fr:Date de sortie précédente]
,,,date,,900007,Date of last PCR test [fr:Date du dernier test PCR]

,,Transport
,,,text,,162721,Health area where patient became ill [fr:Aire de santé où le patient a tombé malade]
,,,text,,1673,Health area patient transported from [fr:Aire de santé d'où le patient était transporté]
,,,select_one,,900903,Mode of transport [fr:Moyen de transport]
,,,,,,,162711,"Taxi, car [fr:Taxi, voiture]"
,,,,,,,900008,"Taxi, moto [fr:Taxi, moto]"
,,,,,,,1613,On foot [fr:À pied]
,,,,,,,1615,Private car [fr:Voiture privée]
,,,,,,,1614,Private moto [fr:Moto privée]
,,,,,,,900009,MSP ambulance [fr:Ambulance de MSP]
,,,,,,,900010,MSF ambulance [fr:Ambulance de MSF]
,,,,,,,900011,Red Cross ambulance [fr:Ambulance de Croix Rouge]
,,,,,,,1377,Other ambulance [fr:Autre ambulance]
,,,,,,,5622,Other [fr:Autre]
,,,text,,1378,Other mode of transport [fr:Autre moyen de transport]

,,Physical attributes [fr:Attributs physiques]
,,,number,,5089,Weight (kg) [fr:Poids (kg)],,,,,0-200
,,,yes_no,,5272,Pregnant [fr:Enceinte]

,,Medical attributes [fr:Attributs médicaux]
,,,yes_no,,900012,IV access present [fr:Acces IV est présent]
,,,yes_no,,162738,Oxygen mask in use [fr:Mask d'oxygène en usage]


form,[2] Accompanying person [fr:Accompagnant]

,,,text,,969,Name [fr:Nom]
,,,text,,900013,Age [fr:Âge]
,,,text,,900014,Relation to patient [fr:Lien avec le patient]
,,,yes_no,,162743,Suspected case [fr:Cas suspect]


form,[3] Vitals / Physical exam [fr:Signes vitaux / Examen physique]

,,Vitals [fr:Signes vitaux]
,,,number,,5088,Temperature (°C) [fr:Température (C)],,,36-37.5,36-39,35-45
,,,number,,5087,Heart rate (bpm) [fr:Fréquence cardiaque (bpm)],,,60-100,20-200,0-300
,,,number,,5085,"BP, systolic (mmHg) [fr:TA, systolique (mmHg)]",,,100-160,80-200,0-300
,,,number,,5086,"BP, diastolic (mmHg) [fr:TA, diastolique (mmHg)]",,,,,0-200
,,,select_one,,162512,Capillary refill time [fr:Remplissage capillaire]
,,,,,,,1066,"< 2 sec"
,,,,,,,1065,"> 2 sec"
,,,number,,5242,Respiratory rate (bpm) [fr:Fréquence respiratoire (bpm)],,,18-40,15-60,0-200
,,,number,,5092,"O₂ saturation, ambient [fr:Saturation en O₂, ambiant]",,,90-100,60-100,0-100
,,,number,,900015,"O₂ saturation, receiving oxygen [fr:Saturation en O₂, reçoit oxygène",,,90-100,60-100,0-100

,,,select_one,,1497,Dehydration [fr:Déshydratation]
,,,,,,,1107,None [fr:Aucun]
,,,,,,,1498,A
,,,,,,,1499,B
,,,,,,,1500,C

,,,select_one,,162643,Consciousness (AVPU) [fr:Conscience (AVPU)],,,,,,,,,,,single selection (displayed as a code)
,,,,,,,160282,A. Alert [fr:A. Alerte]
,,,,,,,162645,V. Responds to voice [fr:V. Repond à voix]
,,,,,,,162644,P. Responds to pain [fr:P. Repond à douleur]
,,,,,,,159508,U. Unresponsive [fr:U. Pas de réponse]

,,,select_one,,160208,Urinary function [fr:Fonctionne urinaire]
,,,,,,,1115,Normal [fr:Normale]
,,,,,,,132418,Oliguria [fr:Oligurie]
,,,,,,,148566,Anuria [fr:Anurie]

,,,select_one,,135595,Anorexia [fr:Anorexie]
,,,,,,,1107,None [fr:Aucun]
,,,,,,,1498,+
,,,,,,,1499,++
,,,,,,,1500,+++

,,Symptoms [fr:Symptômes]
,,,number,,900016,"Vomiting, times in last 24 hours [fr:Vomissement, fois dans 24h]",,,,,0-30
,,,number,,900017,"Diarrhea, times in last 24 hours [fr:Diarrhée, fois dans 24h]",,,,,0-30
,,,select_multiple,,,Other symptoms [fr:Autres symptômes]
,,,,,,,139084,Headache [fr:Mal de tête]
,,,,,,,5226,Asthenia [fr:Asthenie]
,,,,,,,121,Myalgia [fr:Myalgie]
,,,,,,,143264,Cough [fr:Toux]
,,,,,,,138662,Hiccups [fr:Hoquet]
,,,,,,,118789,Dysphagia [fr:Dysphagie]
,,,,,,,120749,Chest pain [fr:Douleur thoracique]
,,,,,,,80,Joint pain [fr:Arthralgie]
,,,,,,,5978,Nausea [fr:Nausée]
,,,,,,,151,Abdominal pain [fr:Douleur abdominale]
,,,,,,,148035,Back pain [fr:Mal au dos]
,,,,,,,116225,Lumbopelvic pain [fr:Douleur lombopelvienne]
,,,,,,,114158,Photophobia [fr:Photophobie]

,,,select_multiple,,,Coloration [fr:Coloration cutaneo-muqueux]
,,,,,,,5245,Pallor [fr:Pâleur]
,,,,,,,136443,Jaundice [fr:Ictère]
,,,,,,,143050,Cyanosis [fr:Cyanose]

,,,select_multiple,,,Neuro
,,,,,,,118299,Agitation [fr:Agitation]
,,,,,,,120345,Confusion [fr:Confusion]
,,,,,,,206,Seizures [fr:Convulsions]
,,,,,,,144576,Coma [fr:Coma]

,,,select_multiple,,,Bleeding [fr:Saignement]
